|mes|total_dias|total_habiles
0|2019-01-01|31|21
1|2019-02-01|28|20
2|2019-03-01|31|20
3|2019-04-01|30|20
4|2019-05-01|31|22
5|2019-06-01|30|18
6|2019-07-01|31|22
7|2019-08-01|31|20
8|2019-09-01|30|21
9|2019-10-01|31|22
10|2019-11-01|30|19
11|2019-12-01|31|21
12|2020-01-01|31|21
13|2020-02-01|29|20
14|2020-03-01|31|21
15|2020-04-01|30|20
16|2020-05-01|31|19
17|2020-06-01|30|19
18|2020-07-01|31|22
19|2020-08-01|31|19
20|2020-09-01|30|22
21|2020-10-01|31|21
22|2020-11-01|30|19
23|2020-12-01|31|21
24|2021-01-01|31|19
25|2021-02-01|28|20
26|2021-03-01|31|22
27|2021-04-01|30|20
28|2021-05-01|31|20
29|2021-06-01|30|20
30|2021-07-01|31|20
31|2021-08-01|31|21
32|2021-09-01|30|22
33|2021-10-01|31|20
34|2021-11-01|30|20
35|2021-12-01|31|22
36|2022-01-01|31|20
37|2022-02-01|28|20
38|2022-03-01|31|22
39|2022-04-01|30|19
40|2022-05-01|31|21
41|2022-06-01|30|20
42|2022-07-01|31|19
43|2022-08-01|31|22
44|2022-09-01|30|22
45|2022-10-01|31|20
46|2022-11-01|30|20
47|2022-12-01|31|21
48|2023-01-01|31|21
49|2023-02-01|28|20
50|2023-03-01|31|22
51|2023-04-01|30|18
52|2023-05-01|31|21
53|2023-06-01|30|20
54|2023-07-01|31|19
55|2023-08-01|31|21
56|2023-09-01|30|21
57|2023-10-01|31|21
58|2023-11-01|30|20
59|2023-12-01|31|18
60|2024-01-01|31|21
61|2024-02-01|29|21
62|2024-03-01|31|18
63|2024-04-01|30|22
64|2024-05-01|31|21
65|2024-06-01|30|18
66|2024-07-01|31|22
67|2024-08-01|31|20
68|2024-09-01|30|21
69|2024-10-01|31|22
70|2024-11-01|30|19
71|2024-12-01|31|20
72|2025-01-01|31|21
73|2025-02-01|28|20
74|2025-03-01|31|20
75|2025-04-01|30|20
76|2025-05-01|31|21
77|2025-06-01|30|18
78|2025-07-01|31|23
79|2025-08-01|31|19
80|2025-09-01|30|22
81|2025-10-01|31|22
82|2025-11-01|30|18
83|2025-12-01|31|20
84|2026-01-01|31|20
85|2026-02-01|28|20
86|2026-03-01|31|21
87|2026-04-01|30|20
88|2026-05-01|31|19
89|2026-06-01|30|19
90|2026-07-01|31|22
91|2026-08-01|31|19
